"Close Month","Program Administrator Name","Program Administrator NPN","Program Administrator License Number","Carrier","Appointment Type","Producer Last Name","Producer First Name","Producer Entity Name","Producer Resident City","Producer Resident State","Producer Zip Code","FEIN","NPN","License Number","Transaction Type","Transaction State","Transaction Date"
"202601","Ahoy MIT LLC","20213360","3213424","Spinnaker Insurance Company","Agent","Ariole","Williams","","Rosenberg","TX","77469","","18203066","","Appointment","TX","01/01/26"
"202601","Ahoy MIT LLC","20213360","3001710748","Spinnaker Insurance Company","Agent","Draper","Sarah","","Murfreesboro","TN","37129","","20247821","","Appointment","TN","01/01/26"
"202601","Ahoy MIT LLC","20213360","L120708","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","FL","01/01/26"
"202601","Ahoy MIT LLC","20213360","226272","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","GA","01/01/26"
"202601","Ahoy MIT LLC","20213360","3001789374","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","MD","01/01/26"
"202601","Ahoy MIT LLC","20213360","0136831","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","MI","01/01/26"
"202601","Ahoy MIT LLC","20213360","18815352","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","NC","01/01/26"
"202601","Ahoy MIT LLC","20213360","18815352","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","SC","01/01/26"
"202601","Ahoy MIT LLC","20213360","3213424","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","TX","01/01/26"
"202601","Ahoy MIT LLC","20213360","154053","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","VA","01/01/26"
"202601","Ahoy MIT LLC","20213360","18815352","Spinnaker Insurance Company","Agent","Holbrook","Brian","","Ocala","FL","34471","","5746485","","Appointment","WV","01/01/26"
"202601","Ahoy MIT LLC","20213360","3213424","Spinnaker Insurance Company","Agent","Mandal","Suman","","Cedar Park","TX","78613","","21377792","","Appointment","TX","01/01/26"
"202601","Ahoy MIT LLC","20213360","L120708","Spinnaker Insurance Company","Agent","Ramos Da Silva","William","","Oviedo","FL","32765","","22073341","","Appointment","FL","01/01/26"
"202601","Ahoy MIT LLC","20213360","L120708","Spinnaker Insurance Company","Agent","Sanchez","Luis","","Miami","FL","33137","","21634411","","Appointment","FL","01/01/26"
"202601","Ahoy MIT LLC","20213360","L120708","Spinnaker Insurance Company","Agency","","","LUIS SANCHEZ","3301 Northeast 1st Avenue, #1011 Miami, FL 33137","FL","","","","","Appointment","FL","01/01/26"
"202601","Ahoy MIT LLC","20213360","L120708","Spinnaker Insurance Company","Agency","","","Loyalty Insurance LLC","1087 Wellness Way Oviedo, FL 32765","FL","","","","","Appointment","FL","01/01/26"
"202601","Ahoy MIT LLC","20213360","3213424","Spinnaker Insurance Company","Agency","","","Samar Agency","350 cypress creek road Cedar Park, TX 78613","TX","","","","","Appointment","TX","01/01/26"
"202601","Ahoy MIT LLC","20213360","3001710748","Spinnaker Insurance Company","Agency","","","Southern Moon Insurance Agency","4909 Russell David Drive Murfreesboro, TN 37129","TN","","","","","Appointment","TN","01/01/26"
"202601","Ahoy MIT LLC","20213360","3213424","Spinnaker Insurance Company","Agency","","","Williams Ariole","7919 Furleson Drive Rosenberg, TX 77469","TX","","","","","Appointment","TX","01/01/26"
"202601","Ahoy MIT LLC","20213360","6008384","Spinnaker Insurance Company","Agent","SOGHOMONIAN","VACHE","","Simi Valley","CA","93065","","20637582","","Termination","CA","01/02/26"
"202601","Ahoy MIT LLC","20213360","6008384","Spinnaker Insurance Company","Agency","","","VACHE SOGHOMONIAN INSURANCE AGENCY","685 Cochran Street STE 226 Simi Valley, CA 93065","CA","","","","","Termination","CA","01/02/26"
