"CarrierName","Program","SubProgram","Policy","PolicyEffective","PolicyExpiration","PolicyCancellation","PolicyReinstatement","State","ASLOB","Product","TransactionType","WrittenPremium","Taxes","PolicyFees","Commission","CollectedPremium","UncollectedPremiumUnder_30_Days","UncollectedPremium_31_60_Days","UncollectedPremium_61_90_Days","UncollectedPremiumOver_90_Days"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001284-03","09/20/2025","09/20/2026","","","SC","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","24.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001342-03","09/30/2025","09/30/2026","","","OH","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","65.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001345-03","09/30/2025","09/30/2026","","","NY","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","106.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001373-03","10/14/2025","10/14/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","45.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001384-03","10/16/2025","10/16/2026","","","SC","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","76.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001395-03","10/21/2025","10/21/2026","","","SC","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","29.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001403-03","10/23/2025","10/23/2026","","","MI","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","62.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001410-03","10/25/2025","10/25/2026","","","CA","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","71.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001474-03","11/10/2025","11/10/2026","","","WI","9.001","Personal Boaters","Renweal","0.0","","5.0","0.0","74.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000001538-03","11/23/2025","11/23/2026","","","IL","9.001","Personal Boaters","Renweal","0.0","","1.0","0.0","34.0","0.0","0.0","0.0","0.0"
