"CarrierName","Program","SubProgram","Policy","PolicyEffective","PolicyExpiration","PolicyCancellation","PolicyReinstatement","State","ASLOB","Product","PolicyStatus","WrittenPremium","Taxes","PolicyFees","Commission","CollectedPremium","EarnedPremiunPrevMonth","NumOfDays","DaysSinceInception","EarnedPremium","EarnedPremiumMTD","UncollectedPremiumUnder_30_Days","UncollectedPremium_31_60_Days","UncollectedPremium_61_90_Days","UncollectedPremium_Over_90_Days"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000700","05/13/2022","05/13/2023","","","AZ","9.001","Personal Boaters","Expired","1096.0","","0.0","0.0","1096.0","1096.0","365","1360","1096.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000715","06/01/2022","06/01/2023","10/31/2022","","AZ","9.001","Personal Boaters","Cancelled","279.0","","5.0","0.0","279.0","279.0","152","1341","279.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000729","06/01/2022","06/01/2023","","","IL","9.001","Personal Boaters","Expired","1411.0","","0.0","0.0","1411.0","1411.0","365","1341","1411.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000736","06/01/2022","06/01/2023","04/11/2023","","AZ","9.001","Personal Boaters","Cancelled","520.0","","48.0","0.0","520.0","520.0","314","1341","520.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000749","06/03/2022","06/03/2023","","","AZ","9.001","Personal Boaters","Expired","328.0","","0.0","0.0","328.0","328.0","365","1339","328.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000752","05/25/2022","05/25/2023","","","IL","9.001","Personal Boaters","Expired","802.0","","55.0","0.0","802.0","802.0","365","1348","802.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000753","05/27/2022","05/27/2023","","","IL","9.001","Personal Boaters","Expired","340.0","","0.0","0.0","340.0","340.0","365","1346","340.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000754","05/22/2022","05/22/2023","","","IL","9.001","Personal Boaters","Expired","2506.0","","55.0","0.0","2506.0","2506.0","365","1351","2506.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000758","05/28/2022","05/28/2023","","","OH","9.001","Personal Boaters","Expired","138.0","","0.0","0.0","138.0","138.0","365","1345","138.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000760","05/31/2022","05/31/2023","","","IL","9.001","Personal Boaters","Expired","643.0","","0.0","0.0","643.0","643.0","365","1342","643.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000764","05/31/2022","05/31/2023","","","WI","9.001","Personal Boaters","Expired","298.0","","0.0","0.0","298.0","298.0","365","1342","298.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000765","06/01/2022","06/01/2023","11/13/2022","","WI","9.001","Personal Boaters","Cancelled","82.0","","5.0","0.0","82.0","82.0","165","1341","82.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000766","06/02/2022","06/02/2023","","","OH","9.001","Personal Boaters","Expired","610.0","","0.0","0.0","610.0","610.0","365","1340","610.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000768","06/04/2022","06/04/2023","","","OH","9.001","Personal Boaters","Expired","741.0","","55.0","0.0","741.0","741.0","365","1338","741.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000770","06/04/2022","06/04/2023","","","OH","9.001","Personal Boaters","Expired","162.0","","0.0","0.0","162.0","162.0","365","1338","162.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000775","06/10/2022","06/10/2023","04/21/2023","","OH","9.001","Personal Boaters","Cancelled","632.0","","0.0","0.0","632.0","632.0","315","1332","632.0","0.0","0.0","0.0","0.0","0.0"
"Spinnaker Insurance Company","Ahoy Insurance","","2022-03-0000000776","06/11/2022","06/11/2023","","","OH","9.001","Personal Boaters","Expired","513.0","","11.0","0.0","513.0","513.0","365","1331","513.0","0.0","0.0","0.0","0.0","0.0"
